
[Name]
matid_2_surf

[Data]
X [ m ], Y [ m ], Z [ m ], Area [ m^2 ], AREA_STRETCH, THICKNESS [ m ], THICKNESS DES [ m ], THICKNESS INI [ m ], THICKNESS NEW [ m ], THICKNESS PRF [ m ], Volume [ m^3 ]
1.42033435e-02, 4.52675438e-03, 8.09797347e-02, 1.25839106e-05, 1.81529355e+00, 1.67427142e-03, 1.50000001e-03, 3.00000003e-03, 2.73034861e-03, 2.71896622e-03, 0.00000000e+00
1.42171895e-02, 4.62852092e-03, 7.81722963e-02, 1.25681190e-05, 1.81312859e+00, 1.67507038e-03, 1.50000001e-03, 3.00000003e-03, 2.72802706e-03, 2.71782908e-03, 0.00000000e+00
1.49146626e-02, 1.78783623e-04, 7.82142580e-02, 1.26430687e-05, 1.81196642e+00, 1.67662860e-03, 1.50000001e-03, 3.00000003e-03, 2.72802706e-03, 2.71558226e-03, 0.00000000e+00
1.49255442e-02, 1.05251886e-04, 8.10230672e-02, 1.26313043e-05, 1.80922425e+00, 1.67609891e-03, 1.50000001e-03, 3.00000003e-03, 2.73034861e-03, 2.71632639e-03, 0.00000000e+00
1.42910583e-02, -4.28231247e-03, 7.82363564e-02, 1.27074891e-05, 1.80989742e+00, 1.67700031e-03, 1.50000001e-03, 3.00000003e-03, 2.72802706e-03, 2.71504815e-03, 0.00000000e+00
1.42675936e-02, -4.38348949e-03, 8.10347050e-02, 1.26630903e-05, 1.80849731e+00, 1.67741161e-03, 1.50000001e-03, 3.00000003e-03, 2.73034861e-03, 2.71443790e-03, 0.00000000e+00
1.50122335e-02, -1.25312072e-04, 2.59586610e-02, 1.87042406e-05, 2.84828019e+00, 1.18827063e-03, 1.50000001e-03, 3.00000003e-03, 3.82432202e-03, 3.79372388e-03, 0.00000000e+00
1.50676630e-02, -1.90670718e-04, 2.94239949e-02, 1.43283505e-05, 1.91070700e+00, 1.48556021e-03, 1.50000001e-03, 3.00000003e-03, 3.04609630e-03, 3.04169231e-03, 0.00000000e+00
1.44307269e-02, 4.29486996e-03, 2.93876138e-02, 1.43769357e-05, 1.90621662e+00, 1.49080099e-03, 1.50000001e-03, 3.00000003e-03, 3.04609630e-03, 3.03153018e-03, 0.00000000e+00
1.43711697e-02, 4.21159621e-03, 2.59468872e-02, 1.87670066e-05, 2.82185054e+00, 1.19830505e-03, 1.50000001e-03, 3.00000003e-03, 3.82432202e-03, 3.76063283e-03, 0.00000000e+00
1.43050672e-02, -4.44730185e-03, 2.60278136e-02, 1.85489553e-05, 2.82215929e+00, 1.20131811e-03, 1.50000001e-03, 3.00000003e-03, 3.82432202e-03, 3.75340134e-03, 0.00000000e+00
1.43191256e-02, -4.62172180e-03, 2.94754617e-02, 1.41894661e-05, 1.89821625e+00, 1.49396516e-03, 1.50000001e-03, 3.00000003e-03, 3.04609630e-03, 3.02522047e-03, 0.00000000e+00
1.42238028e-02, 4.61825170e-03, 5.11566922e-02, 1.23686823e-05, 1.81019306e+00, 1.67857576e-03, 1.50000001e-03, 3.00000003e-03, 2.71959906e-03, 2.71277758e-03, 0.00000000e+00
1.48056997e-02, -4.42406463e-06, 5.11796363e-02, 1.23121172e-05, 1.79634976e+00, 1.68389652e-03, 1.50000001e-03, 3.00000003e-03, 2.71959906e-03, 2.70515890e-03, 0.00000000e+00
1.49524817e-02, 1.14501709e-05, 5.38230278e-02, 1.23831551e-05, 1.81365955e+00, 1.67835795e-03, 1.50000001e-03, 3.00000003e-03, 2.71655596e-03, 2.71307374e-03, 0.00000000e+00
1.41776158e-02, 4.63325158e-03, 5.37978858e-02, 1.23653299e-05, 1.80802333e+00, 1.67829066e-03, 1.50000001e-03, 3.00000003e-03, 2.71655596e-03, 2.71317153e-03, 0.00000000e+00
1.49157504e-02, 3.02343051e-05, 5.64669818e-02, 1.23763684e-05, 1.80743968e+00, 1.67819439e-03, 1.50000001e-03, 3.00000003e-03, 2.71417550e-03, 2.71330867e-03, 0.00000000e+00
1.41832568e-02, 4.64755762e-03, 5.64394295e-02, 1.23539512e-05, 1.80870044e+00, 1.67861884e-03, 1.50000001e-03, 3.00000003e-03, 2.71417550e-03, 2.71269819e-03, 0.00000000e+00
1.40768550e-02, -4.58896253e-03, 5.12060598e-02, 1.22946794e-05, 1.79647410e+00, 1.68369687e-03, 1.50000001e-03, 3.00000003e-03, 2.71959906e-03, 2.70544528e-03, 0.00000000e+00
1.42202172e-02, -4.62217489e-03, 5.38456142e-02, 1.23772134e-05, 1.81353641e+00, 1.67818822e-03, 1.50000001e-03, 3.00000003e-03, 2.71655596e-03, 2.71331728e-03, 0.00000000e+00
1.41928494e-02, -4.58815228e-03, 5.64905666e-02, 1.23802856e-05, 1.80760753e+00, 1.67816610e-03, 1.50000001e-03, 3.00000003e-03, 2.71417550e-03, 2.71334918e-03, 0.00000000e+00
1.48057928e-02, -2.39928522e-05, 4.85345982e-02, 1.23042128e-05, 1.79512393e+00, 1.68823299e-03, 1.50000001e-03, 3.00000003e-03, 2.72279233e-03, 2.69896886e-03, 0.00000000e+00
1.40714189e-02, -4.60542738e-03, 4.85677533e-02, 1.22650690e-05, 1.79338562e+00, 1.69016526e-03, 1.50000001e-03, 3.00000003e-03, 2.72279233e-03, 2.69622239e-03, 0.00000000e+00
1.42197451e-02, 4.59390832e-03, 4.85104769e-02, 1.23894424e-05, 1.80924320e+00, 1.67832128e-03, 1.50000001e-03, 3.00000003e-03, 2.72279233e-03, 2.71316036e-03, 0.00000000e+00
1.49249798e-02, 5.55781953e-05, 5.91175333e-02, 1.23991067e-05, 1.80881131e+00, 1.67880533e-03, 1.50000001e-03, 3.00000003e-03, 2.71418504e-03, 2.71242973e-03, 0.00000000e+00
1.41742071e-02, 4.66719642e-03, 5.90800233e-02, 1.23761483e-05, 1.80849564e+00, 1.67872303e-03, 1.50000001e-03, 3.00000003e-03, 2.71418504e-03, 2.71254824e-03, 0.00000000e+00
1.42104914e-02, -4.56336746e-03, 5.91383390e-02, 1.24168910e-05, 1.80887592e+00, 1.67871627e-03, 1.50000001e-03, 3.00000003e-03, 2.71418504e-03, 2.71255779e-03, 0.00000000e+00
1.48058059e-02, -4.97880683e-05, 4.58837561e-02, 1.23215104e-05, 1.79490364e+00, 1.68808899e-03, 1.50000001e-03, 3.00000003e-03, 2.72345264e-03, 2.69917375e-03, 0.00000000e+00
1.40661122e-02, -4.62087337e-03, 4.59197201e-02, 1.22871561e-05, 1.79460204e+00, 1.69171765e-03, 1.50000001e-03, 3.00000003e-03, 2.72345264e-03, 2.69401679e-03, 0.00000000e+00
