X [ m ], Y [ m ], Z [ m ], Area [ m^2 ], AREA_STRETCH, THICKNESS [ m ], THICKNESS DES [ m ], THICKNESS INI [ m ], THICKNESS NEW [ m ], THICKNESS PRF [ m ], Volume [ m^3 ]
1.42089752e-02, 4.53678844e-03, 8.09859410e-02, 1.26102068e-05, 1.81442320e+00, 1.52401417e-03, 1.50000001e-03, 2.73034861e-03, 2.69223610e-03, 2.69164797e-03, 0.00000000e+00
1.41904168e-02, 4.61025070e-03, 7.81766325e-02, 1.25715596e-05, 1.81050026e+00, 1.52728613e-03, 1.50000001e-03, 2.72802706e-03, 2.68627657e-03, 2.68416246e-03, 0.00000000e+00
1.49175953e-02, 1.84696255e-04, 7.82190189e-02, 1.26398227e-05, 1.81112182e+00, 1.52832014e-03, 1.50000001e-03, 2.72802706e-03, 2.68627657e-03, 2.68253172e-03, 0.00000000e+00
1.49155529e-02, 1.01270707e-04, 8.10291991e-02, 1.26723844e-05, 1.81372762e+00, 1.52443885e-03, 1.50000001e-03, 2.73034861e-03, 2.69223610e-03, 2.69097509e-03, 0.00000000e+00
1.42923659e-02, -4.28944454e-03, 7.82410279e-02, 1.27029089e-05, 1.80736291e+00, 1.52836682e-03, 1.50000001e-03, 2.72802706e-03, 2.68627657e-03, 2.68246187e-03, 0.00000000e+00
1.42590757e-02, -4.37659211e-03, 8.10411274e-02, 1.27058565e-05, 1.81360090e+00, 1.52536994e-03, 1.50000001e-03, 2.73034861e-03, 2.69223610e-03, 2.68950197e-03, 0.00000000e+00
1.48839736e-02, -1.40957898e-04, 2.51319166e-02, 1.78004448e-05, 2.60363817e+00, 1.53113087e-03, 1.50000001e-03, 3.82432202e-03, 3.75023787e-03, 3.73631832e-03, 0.00000000e+00
1.49126183e-02, -1.93558255e-04, 2.88689379e-02, 1.54683476e-05, 2.18821335e+00, 1.38469832e-03, 1.50000001e-03, 3.04609654e-03, 3.28887906e-03, 3.27328662e-03, 0.00000000e+00
1.43071981e-02, 4.24628891e-03, 2.88364068e-02, 1.55565795e-05, 2.19004083e+00, 1.38520682e-03, 1.50000001e-03, 3.04609654e-03, 3.28887906e-03, 3.27162910e-03, 0.00000000e+00
1.42582674e-02, 4.14968003e-03, 2.51460597e-02, 1.77872407e-05, 2.55390477e+00, 1.54649850e-03, 1.50000001e-03, 3.82432202e-03, 3.75023787e-03, 3.70402797e-03, 0.00000000e+00
1.41891409e-02, -4.40934859e-03, 2.52281837e-02, 1.75816185e-05, 2.54046202e+00, 1.54998864e-03, 1.50000001e-03, 3.82432202e-03, 3.75023787e-03, 3.69637646e-03, 0.00000000e+00
1.41965123e-02, -4.58097225e-03, 2.89283004e-02, 1.53433521e-05, 2.18390489e+00, 1.38982269e-03, 1.50000001e-03, 3.04609654e-03, 3.28887906e-03, 3.26167629e-03, 0.00000000e+00
1.41988359e-02, 4.62356489e-03, 5.11526912e-02, 1.23893806e-05, 1.80982518e+00, 1.52230007e-03, 1.50000001e-03, 2.71959906e-03, 2.68869312e-03, 2.68374616e-03, 0.00000000e+00
1.49906883e-02, -4.58112481e-06, 5.11748753e-02, 1.24027747e-05, 1.81952167e+00, 1.52240181e-03, 1.50000001e-03, 2.71959906e-03, 2.68869312e-03, 2.68358528e-03, 0.00000000e+00
1.49415573e-02, 1.15390749e-05, 5.38194962e-02, 1.24019289e-05, 1.81139886e+00, 1.51947746e-03, 1.50000001e-03, 2.71655596e-03, 2.68623978e-03, 2.68521602e-03, 0.00000000e+00
1.42167266e-02, 4.64264723e-03, 5.37940226e-02, 1.23943955e-05, 1.81329989e+00, 1.51989236e-03, 1.50000001e-03, 2.71655596e-03, 2.68623978e-03, 2.68455897e-03, 0.00000000e+00
1.49613172e-02, 3.02836179e-05, 5.64652346e-02, 1.24157459e-05, 1.81490409e+00, 1.51781051e-03, 1.50000001e-03, 2.71417550e-03, 2.68663839e-03, 2.68551172e-03, 0.00000000e+00
1.42143304e-02, 4.65856493e-03, 5.64377345e-02, 1.23928612e-05, 1.81453395e+00, 1.51773787e-03, 1.50000001e-03, 2.71417550e-03, 2.68663839e-03, 2.68562697e-03, 0.00000000e+00
1.41829066e-02, -4.62811906e-03, 5.12022488e-02, 1.23696591e-05, 1.80808151e+00, 1.52137084e-03, 1.50000001e-03, 2.71959906e-03, 2.68869312e-03, 2.68522138e-03, 0.00000000e+00
1.42265670e-02, -4.62319469e-03, 5.38418815e-02, 1.23964692e-05, 1.81375897e+00, 1.51995232e-03, 1.50000001e-03, 2.71655596e-03, 2.68623978e-03, 2.68446398e-03, 0.00000000e+00
1.42322108e-02, -4.60116798e-03, 5.64888641e-02, 1.24194421e-05, 1.81453955e+00, 1.51766953e-03, 1.50000001e-03, 2.71417550e-03, 2.68663839e-03, 2.68573570e-03, 0.00000000e+00
1.47411106e-02, -2.39179517e-05, 4.85315174e-02, 1.23289219e-05, 1.79096174e+00, 1.52954587e-03, 1.50000001e-03, 2.72279233e-03, 2.69285985e-03, 2.67547905e-03, 0.00000000e+00
