
[Name]
matid_2_surf

[Data]
X [ m ], Y [ m ], Z [ m ], Area [ m^2 ], AREA_STRETCH, THICKNESS [ m ], THICKNESS DES [ m ], THICKNESS INI [ m ], THICKNESS NEW [ m ], THICKNESS PRF [ m ], Volume [ m^3 ]
1.43816797e-02, 4.59189713e-03, 8.10147524e-02, 1.27687608e-05, 1.84772253e+00, 1.48278556e-03, 1.50000001e-03, 2.69223587e-03, 2.72170408e-03, 2.72037718e-03, 0.00000000e+00
1.41774528e-02, 4.61303163e-03, 7.81814829e-02, 1.26349441e-05, 1.82165587e+00, 1.49348774e-03, 1.50000001e-03, 2.68627633e-03, 2.70122592e-03, 2.69691320e-03, 0.00000000e+00
1.48927160e-02, 1.79086521e-04, 7.82233998e-02, 1.26922168e-05, 1.81593931e+00, 1.49599649e-03, 1.50000001e-03, 2.68627633e-03, 2.70122592e-03, 2.69281864e-03, 0.00000000e+00
1.48695819e-02, 1.02341102e-04, 8.10558796e-02, 1.27824460e-05, 1.83577693e+00, 1.48778968e-03, 1.50000001e-03, 2.69223587e-03, 2.72170408e-03, 2.71217269e-03, 0.00000000e+00
1.42581128e-02, -4.27095592e-03, 7.82457665e-02, 1.27527692e-05, 1.81665611e+00, 1.49963761e-03, 1.50000001e-03, 2.68627633e-03, 2.70122592e-03, 2.68687936e-03, 0.00000000e+00
1.42186256e-02, -4.36786655e-03, 8.10676515e-02, 1.27618723e-05, 1.82059133e+00, 1.49383512e-03, 1.50000001e-03, 2.69223587e-03, 2.72170408e-03, 2.70224805e-03, 0.00000000e+00
1.48739368e-02, -1.34432674e-04, 2.53859330e-02, 1.80129664e-05, 2.69269347e+00, 1.50324532e-03, 1.50000001e-03, 3.75023787e-03, 3.77690536e-03, 3.75713152e-03, 0.00000000e+00
1.50786499e-02, -1.95291126e-04, 2.89544519e-02, 1.48677300e-05, 2.04824209e+00, 1.55697309e-03, 1.50000001e-03, 3.28887929e-03, 3.18364613e-03, 3.18015087e-03, 0.00000000e+00
1.44368634e-02, 4.28234087e-03, 2.89232917e-02, 1.48925765e-05, 2.04093218e+00, 1.56352122e-03, 1.50000001e-03, 3.28887929e-03, 3.18364613e-03, 3.16800107e-03, 0.00000000e+00
1.42502626e-02, 4.14968794e-03, 2.53948551e-02, 1.79905019e-05, 2.64461446e+00, 1.51962263e-03, 1.50000001e-03, 3.75023787e-03, 3.77690536e-03, 3.71893542e-03, 0.00000000e+00
1.41860023e-02, -4.39805910e-03, 2.54770294e-02, 1.77942584e-05, 2.63474345e+00, 1.52297225e-03, 1.50000001e-03, 3.75023787e-03, 3.77690536e-03, 3.71250976e-03, 0.00000000e+00
1.43238390e-02, -4.61905496e-03, 2.90153325e-02, 1.46900684e-05, 2.03416824e+00, 1.56859437e-03, 1.50000001e-03, 3.28887929e-03, 3.18364613e-03, 3.15874885e-03, 0.00000000e+00
1.41808409e-02, 4.60717501e-03, 5.11521660e-02, 1.23477694e-05, 1.80667424e+00, 1.50963699e-03, 1.50000001e-03, 2.68869312e-03, 2.70756637e-03, 2.67325877e-03, 0.00000000e+00
1.48071768e-02, -4.46155309e-06, 5.11752963e-02, 1.23062355e-05, 1.79664779e+00, 1.51326414e-03, 1.50000001e-03, 2.68869312e-03, 2.70756637e-03, 2.66750460e-03, 0.00000000e+00
1.49173364e-02, 1.14597979e-05, 5.38210645e-02, 1.23647706e-05, 1.81031775e+00, 1.50749367e-03, 1.50000001e-03, 2.68624001e-03, 2.69259000e-03, 2.67422269e-03, 0.00000000e+00
