X [ m ], Y [ m ], Z [ m ], Area [ m^2 ], AREA_STRETCH, THICKNESS [ m ], THICKNESS DES [ m ], THICKNESS INI [ m ], THICKNESS NEW [ m ], THICKNESS PRF [ m ], Volume [ m^3 ]
7.85903260e-03, 2.50960421e-03, 8.09766203e-02, 6.93768970e-06, 1.00000000e+00, 2.69223587e-03, 0.00000000e+00, 2.69223587e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
7.84621760e-03, 2.54938705e-03, 7.81716108e-02, 6.93918946e-06, 1.00000012e+00, 2.68627633e-03, 0.00000000e+00, 2.68627633e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
8.24935548e-03, 1.03155297e-04, 7.82139748e-02, 6.97988116e-06, 9.99999940e-01, 2.68627633e-03, 0.00000000e+00, 2.68627633e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
8.24980158e-03, 5.72495228e-05, 8.10203627e-02, 6.97496307e-06, 1.00000000e+00, 2.69223587e-03, 0.00000000e+00, 2.69223587e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
7.90259428e-03, -2.36886228e-03, 7.82360956e-02, 7.01926137e-06, 1.00000000e+00, 2.68627633e-03, 0.00000000e+00, 2.68627633e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
7.88727310e-03, -2.41938350e-03, 8.10325593e-02, 6.99700513e-06, 1.00000000e+00, 2.69223587e-03, 0.00000000e+00, 2.69223587e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
8.24970379e-03, -6.99986267e-05, 2.67983284e-02, 6.95890458e-06, 1.00000000e+00, 3.75023787e-03, 0.00000000e+00, 3.75023787e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
8.24931357e-03, -1.06474115e-04, 2.96048541e-02, 6.96008192e-06, 1.00000000e+00, 3.28887929e-03, 0.00000000e+00, 3.28887929e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
7.90264644e-03, 2.36868649e-03, 2.95661800e-02, 7.00647206e-06, 9.99999940e-01, 3.28887929e-03, 0.00000000e+00, 3.28887929e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
7.89873581e-03, 2.38169497e-03, 2.67737545e-02, 7.00680175e-06, 9.99999940e-01, 3.75023787e-03, 0.00000000e+00, 3.75023787e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
7.85762165e-03, -2.51401844e-03, 2.68382430e-02, 6.93532775e-06, 1.00000000e+00, 3.75023787e-03, 0.00000000e+00, 3.75023787e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
7.84511957e-03, -2.55276100e-03, 2.96457540e-02, 6.93312995e-06, 1.00000000e+00, 3.28887929e-03, 0.00000000e+00, 3.28887929e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
7.84518011e-03, 2.55257729e-03, 5.11564389e-02, 6.84080260e-06, 1.00000000e+00, 2.68869312e-03, 0.00000000e+00, 2.68869312e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
