X [ m ], Y [ m ], Z [ m ], Area [ m^2 ], AREA_STRETCH, THICKNESS [ m ], THICKNESS DES [ m ], THICKNESS INI [ m ], THICKNESS NEW [ m ], THICKNESS PRF [ m ], Volume [ m^3 ]
1.43093690276145935059e-02, 4.56897029653191566467e-03, 8.10062959790229797363e-02, 1.26182058011181652546e-05, 1.82044506072998046875e+00, 1.51779386214911937714e-03, 1.50000001303851604462e-03, 2.72170407697558403015e-03, 2.69324169494211673737e-03, 2.69298162311315536499e-03, 0.00000000000000000000e+00
1.41941998153924942017e-02, 4.61276620626449584961e-03, 7.81963020563125610352e-02, 1.26025297504384070635e-05, 1.81434428691864013672e+00, 1.50633847806602716446e-03, 1.50000001303851604462e-03, 2.70122592337429523468e-03, 2.69266311079263687134e-03, 2.69101466983556747437e-03, 0.00000000000000000000e+00
1.49181010201573371887e-02, 1.84509844984859228134e-04, 7.82389715313911437988e-02, 1.26650966194574721158e-05, 1.81523990631103515625e+00, 1.50903349276632070541e-03, 1.50000001303851604462e-03, 2.70122592337429523468e-03, 2.69266311079263687134e-03, 2.68670008517801761627e-03, 0.00000000000000000000e+00
1.48691488429903984070e-02, 1.01174882729537785053e-04, 8.10482278466224670410e-02, 1.26459062812500633299e-05, 1.80933761596679687500e+00, 1.52162741869688034058e-03, 1.50000001303851604462e-03, 2.72170407697558403015e-03, 2.69324169494211673737e-03, 2.68689845688641071320e-03, 0.00000000000000000000e+00
1.42939276993274688721e-02, -4.28988551720976829529e-03, 7.82607719302177429199e-02, 1.27230732687166891992e-05, 1.81064605712890625000e+00, 1.51025515515357255936e-03, 1.50000001303851604462e-03, 2.70122592337429523468e-03, 2.69266311079263687134e-03, 2.68478761427104473114e-03, 0.00000000000000000000e+00
1.42144681885838508606e-02, -4.36293426901102066040e-03, 8.10603052377700805664e-02, 1.26547465697512961924e-05, 1.80366539955139160156e+00, 1.52464897837489843369e-03, 1.50000001303851604462e-03, 2.72170407697558403015e-03, 2.69324169494211673737e-03, 2.68210074864327907562e-03, 0.00000000000000000000e+00
1.49646634235978126526e-02, -1.33202178403735160828e-04, 2.52540577203035354614e-02, 1.80482384166680276394e-05, 2.67340922355651855469e+00, 1.49736541789025068283e-03, 1.50000001303851604462e-03, 3.77690559253096580505e-03, 3.80252790637314319611e-03, 3.77500336617231369019e-03, 0.00000000000000000000e+00
1.50895435363054275513e-02, -1.95491273188963532448e-04, 2.89308838546276092529e-02, 1.53124237840529531240e-05, 2.14648175239562988281e+00, 1.46366620901972055435e-03, 1.50000001303851604462e-03, 3.18364636041224002838e-03, 3.26206116005778312683e-03, 3.25604737736284732819e-03, 0.00000000000000000000e+00
1.44515819847583770752e-02, 4.28858818486332893372e-03, 2.88996398448944091797e-02, 1.53226901602465659380e-05, 2.14074325561523437500e+00, 1.47380644921213388443e-03, 1.50000001303851604462e-03, 3.18364636041224002838e-03, 3.26206116005778312683e-03, 3.23519250378012657166e-03, 0.00000000000000000000e+00
1.43377948552370071411e-02, 4.17914846912026405334e-03, 2.52622775733470916748e-02, 1.80038878170307725668e-05, 2.62526512145996093750e+00, 1.51837826706469058990e-03, 1.50000001303851604462e-03, 3.77690559253096580505e-03, 3.80252790637314319611e-03, 3.72834294103085994720e-03, 0.00000000000000000000e+00
1.42696406692266464233e-02, -4.43003373220562934875e-03, 2.53474377095699310303e-02, 1.77776109921978786588e-05, 2.62180709838867187500e+00, 1.52315397281199693680e-03, 1.50000001303851604462e-03, 3.77690559253096580505e-03, 3.80252790637314319611e-03, 3.71820130385458469391e-03, 0.00000000000000000000e+00
1.43386041745543479919e-02, -4.62424103170633316040e-03, 2.89917495101690292358e-02, 1.51092635860550217330e-05, 2.13015580177307128906e+00, 1.47874047979712486267e-03, 1.50000001303851604462e-03, 3.18364636041224002838e-03, 3.26206116005778312683e-03, 3.22536425665020942688e-03, 0.00000000000000000000e+00
1.41804916784167289734e-02, 4.61389170959591865540e-03, 5.11449351906776428223e-02, 1.23397412608028389513e-05, 1.80110847949981689453e+00, 1.52122753206640481949e-03, 1.50000001303851604462e-03, 2.70756660029292106628e-03, 2.67424667254090309143e-03, 2.67356308177113533020e-03, 0.00000000000000000000e+00
1.49121033027768135071e-02, -4.50575271315756253898e-06, 5.11679872870445251465e-02, 1.23371255540405400097e-05, 1.80118179321289062500e+00, 1.52121821884065866470e-03, 1.50000001303851604462e-03, 2.70756660029292106628e-03, 2.67424667254090309143e-03, 2.67357775010168552399e-03, 0.00000000000000000000e+00
1.49494772776961326599e-02, 1.13576597868814133108e-05, 5.38031719624996185303e-02, 1.23961090139346197248e-05, 1.81167805194854736328e+00, 1.50648562703281641006e-03, 1.50000001303851604462e-03, 2.69259000197052955627e-03, 2.68300808966159820557e-03, 2.68226885236799716949e-03, 0.00000000000000000000e+00
1.42107428982853889465e-02, 4.64144768193364143372e-03, 5.37778958678245544434e-02, 1.23891350085614249110e-05, 1.81176126003265380859e+00, 1.50649552233517169952e-03, 1.50000001303851604462e-03, 2.69259000197052955627e-03, 2.68300808966159820557e-03, 2.68225301988422870636e-03, 0.00000000000000000000e+00
1.49903288111090660095e-02, 3.03041360893985256553e-05, 5.64556978642940521240e-02, 1.24722473628935404122e-05, 1.82523930072784423828e+00, 1.48902169894427061081e-03, 1.50000001303851604462e-03, 2.67533701844513416290e-03, 2.69400398246943950653e-03, 2.69309128634631633759e-03, 0.00000000000000000000e+00
1.42451319843530654907e-02, 4.66839876025915145874e-03, 5.64281307160854339600e-02, 1.24493572002393193543e-05, 1.82524228096008300781e+00, 1.48901715874671936035e-03, 1.50000001303851604462e-03, 2.67533701844513416290e-03, 2.69400398246943950653e-03, 2.69309873692691326141e-03, 0.00000000000000000000e+00
1.41780320554971694946e-02, -4.62199281901121139526e-03, 5.11943884193897247314e-02, 1.23183981486363336444e-05, 1.80120503902435302734e+00, 1.52121495921164751053e-03, 1.50000001303851604462e-03, 2.70756660029292106628e-03, 2.67424667254090309143e-03, 2.67358310520648956299e-03, 0.00000000000000000000e+00
1.42173087224364280701e-02, -4.62144194170832633972e-03, 5.38257695734500885010e-02, 1.23907593660987913609e-05, 1.81173765659332275391e+00, 1.50646385736763477325e-03, 1.50000001303851604462e-03, 2.69259000197052955627e-03, 2.68300808966159820557e-03, 2.68230400979518890381e-03, 0.00000000000000000000e+00
1.42638264223933219910e-02, -4.61117317900061607361e-03, 5.64792752265930175781e-02, 1.24761336337542161345e-05, 1.82535803318023681641e+00, 1.48898153565824031830e-03, 1.50000001303851604462e-03, 2.67533701844513416290e-03, 2.69400398246943950653e-03, 2.69315694458782672882e-03, 0.00000000000000000000e+00
1.49047719314694404602e-02, -2.42146325035719200969e-05, 4.85263168811798095703e-02, 1.23717072710860520601e-05, 1.80770266056060791016e+00, 1.51841423939913511276e-03, 1.50000001303851604462e-03, 2.70705390721559524536e-03, 2.67813075333833694458e-03, 2.67751142382621765137e-03, 0.00000000000000000000e+00
1.41654787585139274597e-02, -4.63625648990273475647e-03, 4.85594645142555236816e-02, 1.23501886264421045780e-05, 1.80770635604858398438e+00, 1.51845638174563646317e-03, 1.50000001303851604462e-03, 2.70705390721559524536e-03, 2.67813075333833694458e-03, 2.67744460143148899078e-03, 0.00000000000000000000e+00
1.41805103048682212830e-02, 4.59006521850824356079e-03, 4.85022291541099548340e-02, 1.23856161735602654517e-05, 1.80780184268951416016e+00, 1.51840131729841232300e-03, 1.50000001303851604462e-03, 2.70705390721559524536e-03, 2.67813075333833694458e-03, 2.67753214575350284576e-03, 0.00000000000000000000e+00
1.49959363043308258057e-02, 5.58434294362086802721e-05, 5.91157302260398864746e-02, 1.24876896734349429607e-05, 1.82127690315246582031e+00, 1.49016303475946187973e-03, 1.50000001303851604462e-03, 2.67647556029260158539e-03, 2.69352947361767292023e-03, 2.69238161854445934296e-03, 0.00000000000000000000e+00
1.42437797039747238159e-02, 4.68995515257120132446e-03, 5.90781867504119873047e-02, 1.24650041470886208117e-05, 1.82137203216552734375e+00, 1.49014999624341726303e-03, 1.50000001303851604462e-03, 2.67647556029260158539e-03, 2.69352947361767292023e-03, 2.69240303896367549896e-03, 0.00000000000000000000e+00
1.42779322341084480286e-02, -4.58497274667024612427e-03, 5.91365173459053039551e-02, 1.25056021715863607824e-05, 1.82140052318572998047e+00, 1.49010319728404283524e-03, 1.50000001303851604462e-03, 2.67647556029260158539e-03, 2.69352947361767292023e-03, 2.69247917458415031433e-03, 0.00000000000000000000e+00
