X [ m ], Y [ m ], Z [ m ], Area [ m^2 ], AREA_STRETCH, THICKNESS [ m ], THICKNESS DES [ m ], THICKNESS INI [ m ], THICKNESS NEW [ m ], THICKNESS PRF [ m ], Volume [ m^3 ]
7.85903260111808776855e-03, 2.50960420817136764526e-03, 8.09766203165054321289e-02, 6.93768970450037159026e-06, 1.00000000000000000000e+00, 2.72170407697558403015e-03, 0.00000000000000000000e+00, 2.72170407697558403015e-03, 0.00000000000000000000e+00, 0.00000000000000000000e+00, 0.00000000000000000000e+00
7.84621760249137878418e-03, 2.54938704892992973328e-03, 7.81716108322143554688e-02, 6.93918946126359514892e-06, 1.00000011920928955078e+00, 2.70122592337429523468e-03, 0.00000000000000000000e+00, 2.70122592337429523468e-03, 0.00000000000000000000e+00, 0.00000000000000000000e+00, 0.00000000000000000000e+00
8.24935548007488250732e-03, 1.03155296528711915016e-04, 7.82139748334884643555e-02, 6.97988116371561773121e-06, 9.99999940395355224609e-01, 2.70122592337429523468e-03, 0.00000000000000000000e+00, 2.70122592337429523468e-03, 0.00000000000000000000e+00, 0.00000000000000000000e+00, 0.00000000000000000000e+00
8.24980158358812332153e-03, 5.72495227970648556948e-05, 8.10203626751899719238e-02, 6.97496307111578062177e-06, 1.00000000000000000000e+00, 2.72170407697558403015e-03, 0.00000000000000000000e+00, 2.72170407697558403015e-03, 0.00000000000000000000e+00, 0.00000000000000000000e+00, 0.00000000000000000000e+00
7.90259428322315216064e-03, -2.36886227503418922424e-03, 7.82360956072807312012e-02, 7.01926137480768375099e-06, 1.00000000000000000000e+00, 2.70122592337429523468e-03, 0.00000000000000000000e+00, 2.70122592337429523468e-03, 0.00000000000000000000e+00, 0.00000000000000000000e+00, 0.00000000000000000000e+00
7.88727309554815292358e-03, -2.41938349790871143341e-03, 8.10325592756271362305e-02, 6.99700512996059842408e-06, 1.00000000000000000000e+00, 2.72170407697558403015e-03, 0.00000000000000000000e+00, 2.72170407697558403015e-03, 0.00000000000000000000e+00, 0.00000000000000000000e+00, 0.00000000000000000000e+00
8.24970379471778869629e-03, -6.99986267136409878731e-05, 2.67983283847570419312e-02, 6.95890457791392691433e-06, 1.00000000000000000000e+00, 3.77690559253096580505e-03, 0.00000000000000000000e+00, 3.77690559253096580505e-03, 0.00000000000000000000e+00, 0.00000000000000000000e+00, 0.00000000000000000000e+00
8.24931357055902481079e-03, -1.06474115455057471991e-04, 2.96048540621995925903e-02, 6.96008191880537196994e-06, 1.00000000000000000000e+00, 3.18364636041224002838e-03, 0.00000000000000000000e+00, 3.18364636041224002838e-03, 0.00000000000000000000e+00, 0.00000000000000000000e+00, 0.00000000000000000000e+00
7.90264643728733062744e-03, 2.36868648789823055267e-03, 2.95661799609661102295e-02, 7.00647206031135283411e-06, 9.99999940395355224609e-01, 3.18364636041224002838e-03, 0.00000000000000000000e+00, 3.18364636041224002838e-03, 0.00000000000000000000e+00, 0.00000000000000000000e+00, 0.00000000000000000000e+00
7.89873581379652023315e-03, 2.38169496878981590271e-03, 2.67737545073032379150e-02, 7.00680175214074552059e-06, 9.99999940395355224609e-01, 3.77690559253096580505e-03, 0.00000000000000000000e+00, 3.77690559253096580505e-03, 0.00000000000000000000e+00, 0.00000000000000000000e+00, 0.00000000000000000000e+00
